Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,38.049999,38.970001,37.700001,38.410000,38.375786,6750200
2023-10-03,37.869999,39.230000,36.400002,36.840000,36.807182,6541400
2023-10-04,36.900002,38.580002,36.630001,38.189999,38.155979,5267500
2023-10-05,37.570000,38.520000,37.299999,38.180000,38.145992,3903900
2023-10-06,37.779999,40.200001,37.529999,39.770000,39.734573,7097800
2023-10-09,39.290001,40.139999,38.279999,40.130001,40.094257,5777500
2023-10-10,40.980000,42.720001,40.500000,40.580002,40.543854,8552300
2023-10-11,40.700001,42.529999,40.541000,41.730000,41.692825,8423300
2023-10-12,41.810001,43.130001,41.209999,41.810001,41.772758,6449900
2023-10-13,41.599998,42.060001,39.009998,39.099998,39.065170,6902800
2023-10-16,39.470001,40.923000,39.200001,40.650002,40.613792,4355100
2023-10-17,39.650002,41.389999,38.619999,41.189999,41.153309,5069000
2023-10-18,40.490002,40.779999,38.459999,38.750000,38.715481,6822600
2023-10-19,39.020000,39.480000,36.959999,37.419998,37.386665,8848700
2023-10-20,37.189999,37.939999,35.650002,36.740002,36.707275,8786600
2023-10-23,36.790001,38.312000,36.237999,37.290001,37.256783,6632100
2023-10-24,37.720001,39.200001,37.570000,39.029999,38.995232,9674100
2023-10-25,41.540001,41.919998,36.000000,37.389999,37.356693,17130500
2023-10-26,37.570000,38.099998,34.599998,34.860001,34.828945,10790600
2023-10-27,35.660000,36.810001,35.601002,36.419998,36.387554,7865300
2023-10-30,36.919998,38.500000,36.400002,38.279999,38.245899,6218900
2023-10-31,38.029999,39.445000,37.209999,39.270000,39.235020,5648500
2023-11-01,39.349998,40.259998,39.070000,40.230000,40.194164,5920400
2023-11-02,40.930000,41.799999,39.669998,39.980000,39.944386,5638600
2023-11-03,40.590000,41.215000,39.820000,40.439999,40.403976,6202500
2023-11-06,40.529999,40.680000,38.680000,39.750000,39.714592,5246500
2023-11-07,40.080002,41.060001,39.480000,40.150002,40.114239,4686000
2023-11-08,40.669998,40.930000,39.799999,40.070000,40.034306,4825800
2023-11-09,40.369999,42.200001,39.512001,39.970001,39.934399,6119900
2023-11-10,40.009998,42.250000,40.009998,41.830002,41.792740,5791900
2023-11-13,41.500000,42.430000,41.174000,42.290001,42.252331,4239600
2023-11-14,43.209999,44.000000,42.820000,43.590000,43.551170,6316000
2023-11-15,44.270000,44.959999,42.830002,43.500000,43.461250,8154000
2023-11-16,43.000000,43.619999,42.340000,42.840000,42.801838,4630200
2023-11-17,43.779999,44.160000,42.970001,43.290001,43.251438,5138900
2023-11-20,43.110001,44.630001,43.110001,44.549999,44.510315,4552700
2023-11-21,44.230000,45.150002,42.119999,42.630001,42.592030,6832100
2023-11-22,43.400002,44.380001,42.330002,43.520000,43.481236,6242700
2023-11-24,43.720001,43.869999,42.540001,42.680000,42.641979,1531400
2023-11-27,42.689999,43.259998,42.400002,42.549999,42.512096,5344300
2023-11-28,42.520000,42.865002,41.330002,42.250000,42.212364,7511300
2023-11-29,44.009998,44.919998,41.009998,42.290001,42.252331,13346500
2023-11-30,42.689999,44.549999,42.500000,43.660000,43.621109,26319000
2023-12-01,43.500000,45.939999,43.270000,45.139999,45.099789,9443100
2023-12-04,45.220001,45.910000,43.660000,45.360001,45.319595,8054700
2023-12-05,44.959999,45.307999,44.310001,45.150002,45.109783,4325000
2023-12-06,45.490002,45.990002,44.029999,44.160000,44.120663,4325600
2023-12-07,44.299999,45.419998,44.139999,45.139999,45.099789,4565600
2023-12-08,44.840000,47.250000,44.830002,47.139999,47.124107,6950500
2023-12-11,47.330002,48.880001,47.327000,47.630001,47.613945,7433900
2023-12-12,47.500000,49.860001,47.389999,49.430000,49.413338,7006600
2023-12-13,49.630001,50.230000,47.759998,47.939999,47.923836,7966800
2023-12-14,48.349998,48.990002,45.750000,47.240002,47.224075,10176300
2023-12-15,47.360001,48.400002,46.869999,47.730000,47.713909,5705100
2023-12-18,47.730000,48.599998,47.452000,47.799999,47.783886,3012700
2023-12-19,47.910000,49.345001,47.880001,49.220001,49.203407,3795300
2023-12-20,48.860001,49.150002,47.200001,47.250000,47.234070,3611100
2023-12-21,48.119999,48.639999,47.840000,48.580002,48.563625,2593900
2023-12-22,48.570000,49.160000,48.200001,48.779999,48.763554,2421500
2023-12-26,48.930000,49.209999,48.549999,48.990002,48.973488,2078700
2023-12-27,48.900002,49.310001,48.389999,48.930000,48.913506,2615700
2023-12-28,48.970001,49.330002,48.340000,48.959999,48.943493,2134000
2023-12-29,48.840000,49.020000,47.840000,48.029999,48.013805,3012200
2024-01-02,47.480000,47.500000,45.192001,45.639999,45.624615,5770200
2024-01-03,45.000000,45.924999,44.310001,45.570000,45.554638,5905000
2024-01-04,45.590000,47.310001,45.590000,45.799999,45.784557,5274800
2024-01-05,45.599998,46.669998,45.090000,46.310001,46.294388,4390700
2024-01-08,46.750000,48.619999,46.619999,48.540001,48.523636,4179200
2024-01-09,48.419998,49.470001,47.450001,49.180000,49.163422,3871400
2024-01-10,49.189999,49.680000,48.450001,48.790001,48.773552,2870600
2024-01-11,49.000000,50.169998,48.220001,50.020000,50.003136,3612700
2024-01-12,49.880001,50.250000,48.419998,49.520000,49.503307,3464600
2024-01-16,49.369999,50.720001,49.250000,49.959999,49.943157,3061700
2024-01-17,49.430000,49.889999,48.860001,49.259998,49.243393,3208600
2024-01-18,50.360001,51.040001,49.669998,50.889999,50.872845,4190200
2024-01-19,52.500000,53.669998,51.669998,53.669998,53.651905,7496600
2024-01-22,54.500000,55.930000,53.099998,53.450001,53.431980,7113800
2024-01-23,53.689999,54.200001,52.825001,53.669998,53.651905,3453600
2024-01-24,54.380001,55.049999,52.799999,52.820000,52.802193,8007700
2024-01-25,53.500000,53.790001,52.610001,53.310001,53.292030,7383900
2024-01-26,53.049999,54.764999,52.400002,53.459999,53.441975,5004700
2024-01-29,53.400002,54.930000,53.299999,54.900002,54.881493,5323500
2024-01-30,56.240002,57.590000,55.669998,56.660000,56.640900,9344800
2024-01-31,55.459999,57.599998,55.228001,56.330002,56.311012,7562300
2024-02-01,57.470001,59.619999,57.240002,59.459999,59.439953,10368900
2024-02-02,60.070000,62.259998,60.070000,61.470001,61.449280,9913600
2024-02-05,61.450001,62.169998,60.369999,61.580002,61.559242,6978700
2024-02-06,61.900002,62.259998,57.830002,59.119999,59.100067,10174800
2024-02-07,59.980000,61.310001,59.275002,60.740002,60.719524,6299400
2024-02-08,60.930000,63.430000,60.884998,61.669998,61.649208,7401100
2024-02-09,61.990002,63.810001,61.849998,63.520000,63.498585,6139500
2024-02-12,63.950001,64.180000,61.049999,61.320000,61.299328,7719100
2024-02-13,58.910000,63.119999,57.126999,62.529999,62.508919,10345100
2024-02-14,63.500000,65.199997,63.060001,64.970001,64.948097,7578000
2024-02-15,65.019997,65.559998,61.980000,62.840000,62.818817,9598700
2024-02-16,63.180000,65.000000,62.349998,62.970001,62.948772,8061600
2024-02-20,61.959999,62.549999,60.080002,62.020000,61.999092,9540300
2024-02-21,55.029999,61.590000,55.000000,58.549999,58.530262,21417500
2024-02-22,62.860001,64.500000,61.689999,62.900002,62.878796,11656200
2024-02-23,63.419998,64.510002,61.250000,62.700001,62.678864,5905900
2024-02-26,63.330002,66.900002,63.220001,66.309998,66.287643,7090900
2024-02-27,67.000000,68.800003,66.250000,66.269997,66.247658,8558900
2024-02-28,65.550003,67.559998,65.535004,66.099998,66.077713,5414400
2024-02-29,66.800003,68.220001,66.449997,67.620003,67.597206,6756200
2024-03-01,68.400002,71.139999,68.370003,70.570000,70.546211,7702000
2024-03-04,72.800003,73.500000,71.690002,71.690002,71.665833,9063800
2024-03-05,70.599998,71.920998,68.727997,70.019997,69.996391,6304000
2024-03-06,72.160004,73.580002,70.742996,71.989998,71.965729,5829700
2024-03-07,72.000000,72.570000,70.750000,72.089996,72.065697,5393700
2024-03-08,72.400002,74.410004,69.000000,69.370003,69.346619,7601400
2024-03-11,68.250000,68.320000,65.889999,67.000000,66.977409,11753400
2024-03-12,68.720001,72.589996,68.349998,72.320000,72.295616,7662700
2024-03-13,71.779999,74.639999,71.541000,73.370003,73.345268,8822900
2024-03-14,73.900002,76.279999,73.239998,73.919998,73.895081,9816100
2024-03-15,73.809998,75.455002,72.669998,74.160004,74.135002,8129200
2024-03-18,77.110001,79.660004,75.570000,77.139999,77.139999,12558000
2024-03-19,75.000000,77.279999,72.910004,77.059998,77.059998,12532800
2024-03-20,77.699997,78.620003,75.430000,77.839996,77.839996,6214900
2024-03-21,82.019997,84.750000,81.129997,82.110001,82.110001,11019800
2024-03-22,83.199997,84.019997,81.540001,82.500000,82.500000,6324400
2024-03-25,82.400002,83.230003,80.919998,81.949997,81.949997,7094700
2024-03-26,82.500000,86.625000,82.160004,82.669998,82.669998,8377100
2024-03-27,82.669998,83.279999,78.519997,81.010002,81.010002,7800500
2024-03-28,81.099998,82.959999,80.599998,81.669998,81.669998,5077400
2024-04-01,82.080002,82.839996,79.568001,80.400002,80.400002,6376400
2024-04-02,78.720001,81.279999,77.160004,80.769997,80.769997,6930200
2024-04-03,80.000000,85.830002,79.800003,85.349998,85.349998,8018000
2024-04-04,87.620003,88.695000,80.580002,80.690002,80.690002,11498400
2024-04-05,82.599998,85.410004,81.800003,85.339996,85.339996,7970700
2024-04-08,85.419998,86.000000,82.245003,84.150002,84.150002,6525000
2024-04-09,84.250000,84.370003,78.930000,81.800003,81.800003,10241900
2024-04-10,80.129997,85.385002,79.313004,84.769997,84.769997,8810800
